""	"0%"	"5%"	"10%"	"15%"	"20%"	"25%"	"30%"	"35%"	"40%"	"45%"	"50%"	"55%"	"60%"	"65%"	"70%"	"75%"	"80%"	"85%"	"90%"	"95%"	"100%"
"AA_AAA"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"AA_AAB"	"0"	"0.024"	"0.048"	"0.07"	"0.091"	"0.111"	"0.13"	"0.149"	"0.167"	"0.184"	"0.2"	"0.216"	"0.231"	"0.245"	"0.259"	"0.273"	"0.286"	"0.298"	"0.31"	"0.322"	"0.333"
"AB_ABA"	"0.5"	"0.488"	"0.476"	"0.465"	"0.455"	"0.444"	"0.435"	"0.426"	"0.417"	"0.408"	"0.4"	"0.392"	"0.385"	"0.377"	"0.37"	"0.364"	"0.357"	"0.351"	"0.345"	"0.339"	"0.333"
"AB_ABB"	"0.5"	"0.512"	"0.524"	"0.535"	"0.545"	"0.556"	"0.565"	"0.574"	"0.583"	"0.592"	"0.6"	"0.608"	"0.615"	"0.623"	"0.63"	"0.636"	"0.643"	"0.649"	"0.655"	"0.661"	"0.667"
"BB_BBA"	"1"	"0.976"	"0.952"	"0.93"	"0.909"	"0.889"	"0.87"	"0.851"	"0.833"	"0.816"	"0.8"	"0.784"	"0.769"	"0.755"	"0.741"	"0.727"	"0.714"	"0.702"	"0.69"	"0.678"	"0.667"
"BB_BBB"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
