""	"0%"	"5%"	"10%"	"15%"	"20%"	"25%"	"30%"	"35%"	"40%"	"45%"	"50%"	"55%"	"60%"	"65%"	"70%"	"75%"	"80%"	"85%"	"90%"	"95%"	"100%"
"A_AAA"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A_AAB"	"0"	"0.024"	"0.048"	"0.07"	"0.091"	"0.111"	"0.13"	"0.149"	"0.167"	"0.184"	"0.2"	"0.216"	"0.231"	"0.245"	"0.259"	"0.273"	"0.286"	"0.298"	"0.31"	"0.322"	"0.333"
"A_ABB"	"0"	"0.024"	"0.048"	"0.07"	"0.091"	"0.111"	"0.13"	"0.149"	"0.167"	"0.184"	"0.2"	"0.216"	"0.231"	"0.245"	"0.259"	"0.273"	"0.286"	"0.298"	"0.31"	"0.322"	"0.333"
"B_BAA"	"1"	"0.951"	"0.905"	"0.86"	"0.818"	"0.778"	"0.739"	"0.702"	"0.667"	"0.633"	"0.6"	"0.569"	"0.538"	"0.509"	"0.481"	"0.455"	"0.429"	"0.404"	"0.379"	"0.356"	"0.333"
"B_BBA"	"1"	"0.951"	"0.905"	"0.86"	"0.818"	"0.778"	"0.739"	"0.702"	"0.667"	"0.633"	"0.6"	"0.569"	"0.538"	"0.509"	"0.481"	"0.455"	"0.429"	"0.404"	"0.379"	"0.356"	"0.333"
"B_BBB"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
