""	"0%"	"5%"	"10%"	"15%"	"20%"	"25%"	"30%"	"35%"	"40%"	"45%"	"50%"	"55%"	"60%"	"65%"	"70%"	"75%"	"80%"	"85%"	"90%"	"95%"	"100%"
"AA_AAA"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"AB_ABA"	"0.5"	"0.488"	"0.476"	"0.465"	"0.455"	"0.444"	"0.435"	"0.426"	"0.417"	"0.408"	"0.4"	"0.392"	"0.385"	"0.377"	"0.37"	"0.364"	"0.357"	"0.351"	"0.345"	"0.339"	"0.333"
"AB_ABB"	"0.5"	"0.512"	"0.524"	"0.535"	"0.545"	"0.556"	"0.565"	"0.574"	"0.583"	"0.592"	"0.6"	"0.608"	"0.615"	"0.623"	"0.63"	"0.636"	"0.643"	"0.649"	"0.655"	"0.661"	"0.667"
"BB_BBB"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
